objectid,parentid,title,field_edtf_date,field_description_long,field_linked_agent,field_physical_form,field_genre,field_extent,field_language,field_subject,field_subjects_name,field_geographic_subject,field_temporal_subject,field_use_reproduction,field_rights_statement,field_collection_guide,field_shelf_locator,field_local_identifier,field_note,field_member_of,type,format,object_comments,group,display_template,object_location,image_small,image_thumb,extension,image_alt_text,notes
8,,"""Liberty"" Printing Block",2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,,,model,3d_model,/objects/printblock_front.png,/objects/small/printblock_front_sm.jpg,/objects/thumbs/printblock_front_th.jpg,jpg,"A wooden printing block with a skyline and the silhouette of Lady Liberty. The text reads ""LIBERTY to the world thru PEACE""",
9,8,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/mtl,,artifact,3d_model_child,/objects/3d/press.glb,,,glb,,
10,8,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/obj,,artifact,3d_model_child,/objects/3d/press.glb,,,glb,,
11,8,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/stl,,artifact,3d_model_child,/objects/3d/press.glb,,,glb,,
12,8,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/x3d,,artifact,3d_model_child,/objects/3d/press.glb,,,glb,,
13,8,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,Image;StillImage,image/jpeg,,multiple,artifact_image,/objects/printblock_front.png,/objects/small/printblock_front_sm.jpg,/objects/thumbs/printblock_front_th.jpg,png,,
14,8,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,Image;StillImage,image/jpeg,,artifact,,/objects/printblock_back.png,/objects/small/printblock_back_sm.jpg,/objects/thumbs/printblock_back_th.jpg,png,,
15,,Iraq War Protest Bus,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,,,model,3d_model,/objects/bus_front.png,/objects/small/bus_front_sm.jpg,/objects/thumbs/bus_front_th.jpg,jpg,"A cardboard war caravan with the names ""Rumseed"", ""Cheney"", ""Bush."" Below the caravan reads ""STOP OIL -DRIVEN WAR"".",
16,15,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/mtl,,artifact,3d_model_child,/objects/3d/bus.glb,,,glb,,
17,15,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/obj,,artifact,3d_model_child,/objects/3d/bus.glb,,,glb,,
18,15,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/stl,,artifact,3d_model_child,/objects/3d/bus.glb,,,glb,,
19,15,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/x3d,,artifact,3d_model_child,/objects/3d/bus.glb,,,glb,,
20,15,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,Image;StillImage,image/jpeg,,multiple,artifact_image,/objects/bus_front.png,/objects/small/bus_front_sm.jpg,/objects/thumbs/bus_front_th.jpg,png,,
21,15,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,Image;StillImage,image/jpeg,,artifact,,/objects/bus_back.png,/objects/small/bus_back_sm.jpg,/objects/thumbs/bus_back_th.jpg,png,,
22,,Wooden Peace Key,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,,,model,3d_model,/objects/preview_key.png,/objects/small/preview_key_sm.jpg,/objects/thumbs/preview_key_th.jpg,jpg,"Thick wooden key with a peace sign in the handle. Engraved is ""1985"" and ""Peace City"".",
23,22,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/mtl,,artifact,3d_model_child,/objects/3d/key.glb,,,glb,,
24,22,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/obj,,artifact,3d_model_child,/objects/3d/key.glb,,,glb,,
25,22,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/stl,,artifact,3d_model_child,/objects/3d/key.glb,,,glb,,
26,22,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,InteractiveResource;3DObject,model/x3d,,artifact,3d_model_child,/objects/3d/key.glb,,,glb,,
27,22,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,Image;StillImage,image/jpeg,,multiple,artifact_image,/objects/preview_key.png,/objects/small/preview_key_sm.jpg,/objects/thumbs/preview_key_th.jpg,png,,
28,22,,2024,,,,,,,,,,,,,,,,,Peace Collection '24,Image;StillImage,image/jpeg,,artifact,,/objects/preview_key.png,/objects/small/preview_key_sm.jpg,/objects/thumbs/preview_key_th.jpg,png,,
29,,Barometer from the Golden Rule,2025,"In 1958, the Golden Rule sailed towards the Marshall Islands to protest nuclear weapons testing. It was the first boat that attempted to disrupt a nuclear test, and this action created publicity and further protests against nuclear testing in the pacific. This barometer from the voyage comes from the Albert Bigelow Papers (DG 076). Bigelow was the captain of the Golden Rule.",,,,,,,,,,,,,,,,Albert Bigelow,InteractiveResource;3DObject,,,model,3d_model,/objects/Barometer_Front.png,/objects/small/barometer_front_sm.jpg,/objects/thumbs/barometer_front_th.jpg,jpg,"A metal barometer with a glass face. Around the face are numbers to indicate the air pressure; Small lettering in the middle and bottom of the face reads ""Selsi"", ""Holosteric Barometer"" , ""Copyright 1940 Selsi Co. Inc."" and Made in France.""",
30,29,,2025,,,,,,,,,,,,,,,,,Albert Bigelow,InteractiveResource;3DObject,model/mtl,,artifact,3d_model_child,/objects/3d/barometer.glb,,,glb,,
31,29,,2025,,,,,,,,,,,,,,,,,Albert Bigelow,InteractiveResource;3DObject,model/obj,,artifact,3d_model_child,/objects/3d/barometer.glb,,,glb,,
32,29,,2025,,,,,,,,,,,,,,,,,Albert Bigelow,InteractiveResource;3DObject,model/stl,,artifact,3d_model_child,/objects/3d/barometer.glb,,,glb,,
33,29,,2025,,,,,,,,,,,,,,,,,Albert Bigelow,InteractiveResource;3DObject,model/x3d,,artifact,3d_model_child,/objects/3d/barometer.glb,,,glb,,
34,29,,2025,,,,,,,,,,,,,,,,,Albert Bigelow,Image;StillImage,image/jpeg,,multiple,artifact_image,/objects/Barometer_Front.png,/objects/small/barometer_front_sm.jpg,/objects/thumbs/barometer_front_th.jpg,png,,
35,29,,2025,,,,,,,,,,,,,,,,,Albert Bigelow,Image;StillImage,image/jpeg,,artifact,,/objects/Barometer_Back.png,/objects/small/barometer_back_sm.jpg,/objects/thumbs/barometer_back_th.jpg,png,,
47,,Hannah J. Bailey Teacup and Saucer,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,Image;StillImage,image/jpeg,,model,3d_model,/objects/HJBTeacup_Front.png,/objects/small/hjbteacup_front_sm.jpg,/objects/thumbs/hjbteacup_front_th.jpg,jpg,"Porcelain teacup with name ""Hannah J. Bailey."" The cup is painted yellow and green with flora and fauna. ",
48,47,,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,InteractiveResource;3DObject,model/mtl,,artifact,3d_model_child,/objects/3d/HannahJBailey_Teacup.glb,,,glb,,
49,47,,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,InteractiveResource;3DObject,model/obj,,artifact,3d_model_child,/objects/3d/HannahJBailey_Teacup.glb,,,glb,,
50,47,,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,InteractiveResource;3DObject,model/stl,,artifact,3d_model_child,/objects/3d/HannahJBailey_Teacup.glb,,,glb,,
51,47,,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,InteractiveResource;3DObject,model/x3d,,artifact,3d_model_child,/objects/3d/HannahJBailey_Teacup.glb,,,glb,,
